Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,282.200012,283.549988,279.799988,282.700012,263.820862,2490548
2019-01-02,282.250000,283.250000,277.549988,280.600006,261.861084,9934187
2019-01-03,280.600006,282.450012,277.750000,278.850006,260.227936,6114946
2019-01-04,279.149994,282.950012,279.149994,280.950012,262.187714,7805148
2019-01-07,284.299988,285.250000,281.000000,281.649994,262.840973,9757529
2019-01-08,282.000000,285.500000,281.350006,284.250000,265.267334,7480522
2019-01-09,285.600006,291.700012,284.600006,290.399994,271.006622,12182118
2019-01-10,290.750000,293.700012,288.899994,289.600006,270.260040,10288580
2019-01-11,291.899994,296.000000,291.500000,295.350006,275.626038,16773035
2019-01-14,294.500000,294.799988,290.000000,294.299988,274.646149,6400147
2019-01-15,295.250000,297.399994,294.000000,296.549988,276.745880,7213165
2019-01-16,296.000000,296.549988,291.700012,294.049988,274.412842,7784035
2019-01-17,294.100006,295.600006,290.149994,293.950012,274.319580,10601100
2019-01-18,293.250000,295.100006,290.649994,291.450012,271.986511,10994807
2019-01-21,292.850006,293.200012,288.700012,289.899994,270.540009,8203333
2019-01-22,289.850006,291.000000,285.149994,289.750000,270.400024,10329563
2019-01-23,291.500000,294.399994,275.000000,277.299988,258.781433,40188183
2019-01-24,279.299988,283.350006,277.850006,278.899994,260.274597,28026449
2019-01-25,280.000000,282.700012,278.500000,279.200012,260.554596,8897906
2019-01-28,278.899994,279.450012,274.200012,274.750000,256.401764,8992136
2019-01-29,275.299988,279.000000,274.750000,278.450012,259.854675,6998389
2019-01-30,280.100006,280.200012,274.200012,275.500000,257.101685,10449713
2019-01-31,276.500000,279.600006,273.600006,278.649994,260.041290,15346406
2019-02-01,280.649994,285.200012,279.100006,280.850006,262.094391,18353829
2019-02-04,281.899994,281.899994,276.049988,277.100006,258.594818,6056619
2019-02-05,277.350006,277.799988,272.500000,274.149994,255.841812,9827060
2019-02-06,275.000000,278.399994,274.549988,277.700012,259.154755,8097580
2019-02-07,277.899994,281.000000,277.000000,280.299988,261.581085,5947966
2019-02-08,279.500000,281.200012,274.600006,275.500000,257.101685,4405887
2019-02-11,275.799988,278.200012,268.450012,277.100006,258.594818,9952322
2019-02-12,277.049988,280.500000,274.600006,275.299988,256.915009,7341352
2019-02-14,277.000000,280.200012,277.000000,277.899994,259.341370,9993785
2019-02-15,279.000000,280.950012,275.399994,280.100006,261.394470,37552143
2019-02-18,278.799988,282.450012,273.899994,274.700012,256.355103,40666405
2019-02-19,274.000000,279.200012,274.000000,275.899994,257.474945,34451117
2019-02-20,277.250000,277.500000,274.250000,275.850006,257.428284,5977880
